method,topics,window,ngram,p,r,f,mrr,mp,mr,mf,edge_omega,node_phi,topn
Ours,5,2,2,0.153370014,0.151597553,0.152478632,0.320776256,0.153652968,0.154817352,0.154232962,2 3 3,[[ 0.88]] [[ 0.12]],4
sTPR,5,2,2,0.12748457847840988,0.1264445955132563,0.12696245733788397,0.2728310502283104,0.1273972602739726,0.12889432485322905,0.1281414201953989,,,4,
sTPR,10,2,2,0.12748457847840988,0.1264445955132563,0.12696245733788397,0.27579908675799075,0.1273972602739726,0.12889432485322905,0.1281414201953989,,,4,
sTPR,20,2,2,0.12748457847840988,0.1264445955132563,0.12696245733788397,0.2721461187214611,0.1273972602739726,0.12866601435094593,0.12802849407196493,,,4,
Ours,10,2,2,0.15405777166437415,0.15227736233854522,0.1531623931623932,0.31598173515981726,0.15433789954337898,0.155730593607306,0.15503111888452814,2 3 3,[[ 0.88]] [[ 0.12]],4
sTPR,50,2,2,0.1281699794379712,0.12712440516655338,0.12764505119453926,0.2776255707762556,0.12808219178082192,0.1294422700587085,0.1287586393911998,,,4,
Ours,20,2,2,0.15337001375515819,0.15159755268524813,0.15247863247863247,0.31301369863013684,0.15365296803652967,0.1549739073711677,0.15431061085877323,2 3 3,[[ 0.88]] [[ 0.12]],4
Ours,50,2,2,0.15337001375515819,0.15159755268524813,0.15247863247863247,0.31986301369863,0.15365296803652967,0.15538812785388134,0.15451567678141567,2 3 3,[[ 0.88]] [[ 0.12]],4
sTPR,25,2,2,0.12748457847840988,0.1264445955132563,0.12696245733788397,0.2771689497716894,0.1273972602739726,0.12852902804957608,0.12796064168673305,,,4,
sTPR,30,2,2,0.12748457847840988,0.1264445955132563,0.12696245733788397,0.2778538812785388,0.1273972602739726,0.12852902804957608,0.12796064168673305,,,4,
sTPR,25,2,2,0.12885538039753255,0.12780421481985044,0.12832764505119454,0.27922374429223734,0.12876712328767123,0.1298988910632747,0.12933053120602428,,,4,
Ours,3,2,2,0.156121045392022,0.15431679129843645,0.15521367521367524,0.32146118721461175,0.15639269406392692,0.1576484018264841,0.15701803744259044,2 3 3,[[ 0.88]] [[ 0.12]],4
Ours,7,2,2,0.15543328748280605,0.15363698164513936,0.15452991452991452,0.3182648401826483,0.1557077625570776,0.15673515981735167,0.1562197720064798,2 3 3,[[ 0.88]] [[ 0.12]],4
Ours,9,2,2,0.15337001375515819,0.15159755268524813,0.15247863247863247,0.3180365296803652,0.15365296803652967,0.15554468362687546,0.154593038938019,2 3 3,[[ 0.88]] [[ 0.12]],4
Ours,15,2,2,0.15337001375515819,0.15159755268524813,0.15247863247863247,0.32054794520547936,0.15365296803652967,0.15533920417482067,0.15449148503068072,2 3 3,[[ 0.88]] [[ 0.12]],4
sTPR,15,2,2,0.1281699794379712,0.12712440516655338,0.12764505119453926,0.2764840182648401,0.12808219178082192,0.12935094585779527,0.12871344230474524,,,4,
sTPR,100,2,2,0.12885538039753255,0.12780421481985044,0.12832764505119454,0.2748858447488584,0.12876712328767123,0.13049249836921079,0.1296240696352059,,,4,
sTPR,200,2,2,0.12748457847840988,0.1264445955132563,0.12696245733788397,0.27465753424657524,0.1273972602739726,0.12843770384866285,0.1279153663950017,,,4,
Ours,6,2,2,0.15405777166437415,0.15227736233854522,0.1531623931623932,0.3139269406392693,0.15433789954337898,0.1557958251793869,0.1550634355377409,2 3 3,[[ 0.88]] [[ 0.12]],4
Ours,8,2,2,0.15130674002751032,0.1495581237253569,0.15042735042735042,0.31369863013698623,0.15159817351598173,0.15369210697977828,0.15263795928335064,2 3 3,[[ 0.88]] [[ 0.12]],4
Ours,11,2,2,0.15199449793672629,0.150237933378654,0.15111111111111114,0.31210045662100444,0.15228310502283104,0.15403457273320295,0.15315383159413615,2 3 3,[[ 0.88]] [[ 0.12]],4
Ours,12,2,2,0.15199449793672629,0.150237933378654,0.15111111111111114,0.31415525114155246,0.15228310502283104,0.15403457273320295,0.15315383159413615,2 3 3,[[ 0.88]] [[ 0.12]],4
Ours,13,2,2,0.15199449793672629,0.150237933378654,0.15111111111111114,0.3130136986301369,0.15228310502283104,0.15374103065883896,0.15300859499847994,2 3 3,[[ 0.88]] [[ 0.12]],4
Ours,14,2,2,0.15199449793672629,0.150237933378654,0.15111111111111114,0.3127853881278538,0.15228310502283104,0.15374103065883896,0.15300859499847994,2 3 3,[[ 0.88]] [[ 0.12]],4
Ours,100,2,2,0.15199449793672629,0.150237933378654,0.15111111111111114,0.31347031963470307,0.15228310502283104,0.15344748858447496,0.1528630795098869,2 3 3,[[ 0.88]] [[ 0.12]],4
Ours,200,2,2,0.15268225584594222,0.15091774303195105,0.1517948717948718,0.31324200913241995,0.15296803652968036,0.15440313111545995,0.15368223364420777,2 3 3,[[ 0.88]] [[ 0.12]],4
CTR,,10,2,0.13356164383561644,0.13256288239293,0.1330603889457523,0.2799086757990867,0.13538812785388127,0.13578277886497075,0.13558516617998181,2 3 3,,4,
Ours,1,2,2,0.15405777166437415,0.15227736233854522,0.1531623931623932,0.3223744292237442,0.15433789954337898,0.1558871493803001,0.15510865602009777,2 3 3,[[ 0.88]] [[ 0.12]],4
Ours,2,2,2,0.15337001375515819,0.15159755268524813,0.15247863247863247,0.32420091324200906,0.15365296803652967,0.1549739073711677,0.15431061085877323,2 3 3,[[ 0.88]] [[ 0.12]],4
Ours,3,2,2,0.15405777166437415,0.15227736233854522,0.1531623931623932,0.321917808219178,0.15433789954337898,0.1562524461839531,0.1552892720221084,2 3 3,[[ 0.88]] [[ 0.12]],4
Ours,4,2,2,0.15474552957359008,0.15295717199184228,0.15384615384615385,0.3221461187214611,0.1550228310502283,0.15670906718851932,0.15586138848196368,2 3 3,[[ 0.88]] [[ 0.12]],4
Ours,5,2,2,0.15337001375515819,0.15159755268524813,0.15247863247863247,0.32488584474885834,0.15365296803652967,0.15533920417482067,0.15449148503068072,2 3 3,[[ 0.88]] [[ 0.12]],4
Ours,6,2,2,0.15405777166437415,0.15227736233854522,0.1531623931623932,0.3226027397260273,0.15433789954337898,0.1557958251793869,0.1550634355377409,2 3 3,[[ 0.88]] [[ 0.12]],4
Ours,7,2,2,0.15268225584594222,0.15091774303195105,0.1517948717948718,0.32283105022831043,0.15296803652968036,0.15419765166340516,0.15358038296003695,2 3 3,[[ 0.88]] [[ 0.12]],4
Ours,8,2,2,0.15130674002751032,0.1495581237253569,0.15042735042735042,0.3223744292237442,0.15159817351598173,0.15369210697977828,0.15263795928335064,2 3 3,[[ 0.88]] [[ 0.12]],4
Ours,9,2,2,0.15130674002751032,0.1495581237253569,0.15042735042735042,0.321917808219178,0.15159817351598173,0.15369210697977828,0.15263795928335064,2 3 3,[[ 0.88]] [[ 0.12]],4
Ours,10,2,2,0.15199449793672629,0.150237933378654,0.15111111111111114,0.32123287671232864,0.15228310502283104,0.15403457273320295,0.15315383159413615,2 3 3,[[ 0.88]] [[ 0.12]],4
Ours,11,2,2,0.15199449793672629,0.150237933378654,0.15111111111111114,0.3207762557077624,0.15228310502283104,0.15403457273320295,0.15315383159413615,2 3 3,[[ 0.88]] [[ 0.12]],4
Ours,12,2,2,0.15199449793672629,0.150237933378654,0.15111111111111114,0.32283105022831043,0.15228310502283104,0.15403457273320295,0.15315383159413615,2 3 3,[[ 0.88]] [[ 0.12]],4
Ours,13,2,2,0.15199449793672629,0.150237933378654,0.15111111111111114,0.3207762557077624,0.15228310502283104,0.15374103065883896,0.15300859499847994,2 3 3,[[ 0.88]] [[ 0.12]],4
Ours,14,2,2,0.15199449793672629,0.150237933378654,0.15111111111111114,0.32146118721461175,0.15228310502283104,0.15374103065883896,0.15300859499847994,2 3 3,[[ 0.88]] [[ 0.12]],4
Ours,15,2,2,0.15268225584594222,0.15091774303195105,0.1517948717948718,0.32146118721461175,0.15296803652968036,0.15442596216568827,0.15369354198161803,2 3 3,[[ 0.88]] [[ 0.12]],4
Ours,16,2,2,0.15199449793672629,0.150237933378654,0.15111111111111114,0.3228310502283104,0.15228310502283104,0.15374103065883896,0.15300859499847994,2 3 3,[[ 0.88]] [[ 0.12]],4
Ours,17,2,2,0.15199449793672629,0.150237933378654,0.15111111111111114,0.3230593607305935,0.15228310502283104,0.15374103065883896,0.15300859499847994,2 3 3,[[ 0.88]] [[ 0.12]],4
Ours,18,2,2,0.15199449793672629,0.150237933378654,0.15111111111111114,0.32054794520547936,0.15228310502283104,0.15374103065883896,0.15300859499847994,2 3 3,[[ 0.88]] [[ 0.12]],4
Ours,19,2,2,0.15268225584594222,0.15091774303195105,0.1517948717948718,0.3207762557077624,0.15296803652968036,0.15442596216568827,0.15369354198161803,2 3 3,[[ 0.88]] [[ 0.12]],4
Ours,20,2,2,0.15474552957359008,0.15295717199184228,0.15384615384615385,0.3251141552511414,0.1550228310502283,0.15605022831050236,0.15553483306103644,2 3 3,[[ 0.88]] [[ 0.12]],4
Ours,0,2,2,0.15405777166437415,0.15227736233854522,0.1531623931623932,0.32237442922374415,0.15433789954337898,0.1558871493803001,0.15510865602009777,2 3 3,[[ 0.88]] [[ 0.12]],4
Ours,30,2,2,0.15405777166437415,0.15227736233854522,0.1531623931623932,0.3164383561643834,0.15433789954337898,0.15536529680365305,0.15484989404978905,2 3 3,[[ 0.88]] [[ 0.12]],4
Ours,40,2,2,0.15337001375515819,0.15159755268524813,0.15247863247863247,0.3175799086757989,0.15365296803652967,0.15497390737116773,0.15431061085877326,2 3 3,[[ 0.88]] [[ 0.12]],4
Ours,60,2,2,0.15337001375515819,0.15159755268524813,0.15247863247863247,0.31689497716894965,0.15365296803652967,0.15552185257664716,0.15458176183654587,2 3 3,[[ 0.88]] [[ 0.12]],4
Ours,70,2,2,0.15199449793672629,0.150237933378654,0.15111111111111114,0.3171232876712327,0.15228310502283104,0.15360404435746908,0.15294072252599517,2 3 3,[[ 0.88]] [[ 0.12]],4
Ours,80,2,2,0.15199449793672629,0.150237933378654,0.15111111111111114,0.3143835616438355,0.15228310502283104,0.15412589693411616,0.15319895955833482,2 3 3,[[ 0.88]] [[ 0.12]],4
Ours,90,2,2,0.15199449793672629,0.150237933378654,0.15111111111111114,0.3125570776255706,0.15228310502283104,0.15360404435746908,0.15294072252599517,2 3 3,[[ 0.88]] [[ 0.12]],4
Ours,0,2,2,0.15315934065934067,0.15159755268524813,0.15237444482405196,0.3164383561643833,0.15296803652968036,0.15545662100456628,0.15420228895263807,2 3 3,[[ 0.34]] [[ 0.33]] [[ 0.33]],4
Ours,0,2,2,0.15453296703296704,0.15295717199184228,0.15374103177314655,0.32031963470319613,0.15433789954337898,0.15773972602739736,0.15602027184800726,2 3 3,[[ 0.5]] [[ 0.5]],4
Ours,0,2,2,0.15453296703296704,0.15295717199184228,0.15374103177314655,0.3189497716894975,0.15433789954337898,0.15773972602739736,0.15602027184800726,2 3 3,[[ 0.5]] [[ 0.5]],4
Ours,0,2,2,0.15802675585284282,0.1575,0.15776293823038395,0.32944444444444426,0.15777777777777777,0.16168650793650796,0.15970823068270432,2 3 3,[[ 0.5]] [[ 0.5]],4
CTR,,10,2,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.27805555555555556,0.13555555555555554,0.13728174603174612,0.13641319015182737,2 3 3,,4,
sTPR,10,2,2,0.1281699794379712,0.12712440516655338,0.12764505119453926,0.2732876712328766,0.12808219178082192,0.12860078277886502,0.12834096341061588,,,4,
TextRank,,2,2,0.1281699794379712,0.12712440516655338,0.12764505119453926,0.2776255707762556,0.12808219178082192,0.12935094585779527,0.12871344230474524,,,4,
sTPR,10,2,2,0.12748457847840988,0.1264445955132563,0.12696245733788397,0.26643835616438344,0.1273972602739726,0.12789628180039148,0.12764628331923628,,,4,
Ours,10,2,2,0.13533834586466165,0.135,0.13516896120150187,0.2719444444444444,0.135,0.14115873015873026,0.1380106908840097,2 3 3,[[ 0.5]] [[ 0.5]],4
Ours,20,2,2,0.13640167364016736,0.13583333333333333,0.13611691022964512,0.27472222222222226,0.1361111111111111,0.14421031746031754,0.1400437108446622,2 3 3,[[ 0.5]] [[ 0.5]],4
Ours,30,2,2,0.1322175732217573,0.13166666666666665,0.13194154488517745,0.26500000000000007,0.13194444444444442,0.13762301587301592,0.13472391920559915,2 3 3,[[ 0.5]] [[ 0.5]],4
Ours,10,2,2,0.14381270903010032,0.14333333333333334,0.1435726210350584,0.27194444444444443,0.14416666666666667,0.14918253968253978,0.14663172086647552,2 3 3,[[ 0.88]] [[ 0.12]],4
Ours,20,2,2,0.13986599664991625,0.13916666666666666,0.13951545530492895,0.28055555555555567,0.14027777777777775,0.1463769841269842,0.14326249398200064,2 3 3,[[ 0.88]] [[ 0.12]],4
Ours,30,2,2,0.13472803347280335,0.13416666666666666,0.13444676409185802,0.27333333333333343,0.13444444444444442,0.13903571428571435,0.13670153953306155,2 3 3,[[ 0.88]] [[ 0.12]],4
Ours,10,2,2,0.1606694560669456,0.16,0.1603340292275574,0.33638888888888885,0.1611111111111111,0.1626309523809524,0.16186746421844422,2 3 3,[[ 0.88]] [[ 0.12]],4
Ours,10,2,2,0.1606694560669456,0.16,0.1603340292275574,0.33583333333333326,0.1611111111111111,0.1626309523809524,0.16186746421844422,2 3 3,[[ 0.88]] [[ 0.12]],4
Ours,10,2,2,0.1606694560669456,0.16,0.1603340292275574,0.33138888888888884,0.1611111111111111,0.1626309523809524,0.16186746421844422,2 3 3,[[ 0.88]] [[ 0.12]],4
Ours,10,2,2,0.1606694560669456,0.16,0.1603340292275574,0.33138888888888884,0.1611111111111111,0.1626309523809524,0.16186746421844422,2 3 3,[[ 0.88]] [[ 0.12]],4
Ours,20,2,2,0.15397489539748954,0.15333333333333332,0.15365344467640918,0.3330555555555555,0.15444444444444444,0.15657539682539684,0.15550262052501232,2 3 3,[[ 0.88]] [[ 0.12]],4
Ours,30,2,2,0.15732217573221757,0.15666666666666668,0.1569937369519833,0.32388888888888884,0.15777777777777777,0.16070634920634924,0.15922859887972401,2 3 3,[[ 0.88]] [[ 0.12]],4
